GEOID,MUNICIPALITY,STATE,WEBSITE_AVAILABLE,WEBSITE_URL
1600000US4830464,Grand Prairie,Texas,1,https://www.gptx.org/
1600000US4845744,McKinney,Texas,1,https://www.mckinneytexas.org/
1600000US1210275,Cape Coral,Florida,1,https://www.capecoral.net/
1600000US4659020,Sioux Falls,South Dakota,1,https://www.siouxfalls.org/
1600000US0454050,Peoria,Arizona,1,https://www.peoriaaz.gov/
1600000US4459000,Providence,Rhode Island,1,https://www.providenceri.gov/
1600000US5374060,Vancouver,Washington,1,https://www.cityofvancouver.us/
1600000US4740000,Knoxville,Tennessee,1,http://knoxvilletn.gov/
1600000US3901000,Akron,Ohio,1,https://www.akronohio.gov/
1600000US2270000,Shreveport,Louisiana,1,https://www.shreveportla.gov/
1600000US0150000,Mobile,Alabama,1,https://www.cityofmobile.org/
1600000US4810768,Brownsville,Texas,1,https://www.cob.us/
1600000US5156000,Newport News,Virginia,1,https://www.nnva.gov/
1600000US1224000,Fort Lauderdale,Florida,1,https://www.fortlauderdale.gov/
1600000US4714000,Chattanooga,Tennessee,1,http://www.chattanooga.gov/
1600000US0473000,Tempe,Arizona,1,https://www.tempe.gov/
1600000US1703012,Aurora,Illinois,1,https://www.aurora-il.org/
1600000US0670098,Santa Rosa,California,1,https://srcity.org/
1600000US4123850,Eugene,Oregon,1,https://www.eugene-or.gov/
1600000US0622020,Elk Grove,California,1,https://www.elkgrovecity.org/
1600000US4164900,Salem,Oregon,1,https://www.cityofsalem.net/
1600000US0653896,Ontario,California,1,https://www.ontarioca.gov/
1600000US3710740,Cary,North Carolina,1,https://www.townofcary.org/
1600000US0659451,Rancho Cucamonga,California,1,https://www.cityofrc.us/
1600000US0653322,Oceanside,California,1,https://www.ci.oceanside.ca.us/
1600000US0640130,Lancaster,California,1,https://www.cityoflancasterca.org/
1600000US0629000,Garden Grove,California,1,https://ggcity.org/
1600000US1255775,Pembroke Pines,Florida,1,https://www.ppines.com/
1600000US0827425,Fort Collins,Colorado,1,https://www.fcgov.com/
1600000US0655156,Palmdale,California,1,https://www.cityofpalmdale.org/
1600000US2970000,Springfield,Missouri,1,https://www.springfieldmo.gov/
1600000US4715160,Clarksville,Tennessee,1,https://www.cityofclarksville.com/
1600000US0664224,Salinas,California,1,https://www.cityofsalinas.org/
1600000US0633000,Hayward,California,1,https://www.hayward-ca.gov/
1600000US3457000,Paterson,New Jersey,1,https://www.patersonnj.gov/
1600000US5101000,Alexandria,Virginia,1,http://alexandriava.gov/
1600000US1349008,Macon-Bibb County,Georgia,1,https://www.maconbibb.us/
1600000US0616350,Corona,California,1,https://www.coronaca.gov/
1600000US2036000,Kansas City,Kansas,1,https://www.wycokck.org/
1600000US0843000,Lakewood,Colorado,1,https://www.lakewood.org/
1600000US2567000,Springfield,Massachusetts,1,https://www.springfield-ma.gov/
1600000US0677000,Sunnyvale,California,1,https://sunnyvale.ca.gov/
